City,Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (mph),Latitude,Longitude
Sistranda,37.4,93,75,16.11,63.73,8.83
Nong Khai,82.4,83,40,2.24,17.88,102.74
Neuquén,69.8,49,100,6.93,-38.95,-68.06
Monduli,57.36,94,28,6.42,-3.3,36.45
Emmett,71.11,20,100,11.01,43.87,-116.5
Bayir,64.4,88,2,4.7,37.27,28.22
Lüderitz,69.8,28,0,4.7,-26.65,15.16
Olathe,71.4,78,75,4.7,38.88,-94.82
Dārāb,71.17,31,0,2.13,28.75,54.54
Ulladulla,61.03,68,0,3.36,-35.35,150.47
Marsh Harbour,79.97,80,89,16.53,26.54,-77.06
Araguaína,76.08,84,45,1.77,-7.19,-48.21
Mponela,52.92,68,0,7.27,-13.53,33.74
Le Marin,79.81,83,75,14.99,14.47,-60.87
Al Bardīyah,71.28,70,0,7.25,31.76,25.09
Szigetvár,53.01,96,100,1.66,46.05,17.81
Kautokeino,22.5,96,97,3.83,69.01,23.04
Skovorodino,57.67,36,96,5.86,53.98,123.92
Maniwaki,46.56,73,24,6.17,46.38,-75.97
Hofn,39.49,72,100,4.94,64.25,-15.21
Greenville,77.79,54,1,10.29,35.61,-77.37
Lima,64.4,82,75,8.05,-12.04,-77.03
Westport,63.7,45,1,4.7,41.14,-73.36
Clyde River,21.2,85,1,9.17,70.47,-68.59
Kumul,82.15,21,100,19.98,42.8,93.45
Santa Lucía,66.09,68,40,18.34,27.91,-15.54
Teresópolis,62.01,93,42,0.67,-22.41,-42.97
Cravo Norte,79.09,84,100,3.47,6.3,-70.2
Kamenka,39.99,92,0,7.34,51.32,42.77
Vadsø,32.0,97,90,3.36,70.07,29.75
Port-Gentil,82.29,83,100,8.03,-0.72,8.78
Kalmunai,80.49,87,100,5.5,7.42,81.82
Narón,50.4,76,0,8.68,43.52,-8.15
Tromsø,35.6,69,79,3.36,69.65,18.96
Faya,65.3,55,65,4.7,18.39,42.45
General Roca,69.8,49,100,6.93,-39.03,-67.58
Krasnosel'kup,46.38,87,92,9.71,65.7,82.47
Garsten,51.93,81,75,5.82,48.0,14.4
Nantucket,49.59,81,1,10.29,41.28,-70.1
Concordia,61.0,73,0,1.99,-31.39,-58.02
Mangai,71.82,76,100,0.56,-4.05,19.53
Inongo,72.68,86,10,1.88,-1.95,18.27
Quang Ngai,85.84,67,19,6.31,15.12,108.8
Pandan,85.51,72,99,10.11,14.05,124.17
Great Yarmouth,44.69,92,0,8.43,52.61,1.73
Port Hardy,53.6,87,90,18.34,50.7,-127.42
Barnāla,84.76,22,37,3.15,30.38,75.55
Mehamn,32.61,96,100,9.8,71.04,27.85
Te Anau,52.83,54,0,0.89,-45.42,167.72
Barcelona,60.93,82,20,4.7,41.39,2.16
San Ramon,68.9,40,1,13.87,37.78,-121.98
Diamantino,68.45,79,100,3.6,-14.41,-56.45
Wagar,86.58,36,2,7.9,16.15,36.2
Kemijärvi,28.54,97,94,3.67,66.71,27.43
Ust'-Barguzin,42.37,65,100,4.36,53.45,108.98
Cloquet,49.84,61,40,8.05,46.72,-92.46
